,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score,user score,developer,players,critics,users
39,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,71,2.7,InfinityWard,No info,10,1065
40,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74,7.3,Ubisoft,No info,24,29
41,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,9.0,PolyphonyDigital,1-2 ,23,246
42,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,94,8.5,InfinityWard,Up to 18 ,70,1467
43,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,72,7.9,HudsonSoft,4  Online,27,132
44,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,96,8.6,BethesdaGameStudios,No Online Multiplayer,89,3954
45,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,82,4.4,EASports,Up to 22 ,42,1002
46,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,68,7.8,NdCube,No info,42,87
47,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,62,6.4,Hudson,No Online Multiplayer,41,262
48,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,88,6.7,ElectronicArts,Up to 22 ,37,382
49,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,86,7.7,TheSimsStudio,No Online Multiplayer,75,1101
50,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,96,9.0,RareLtd.,1-4 ,21,668
51,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,67,7.7,"Sega,Nintendo,SegaSportsR&D",1-4 ,36,118
52,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,8.9,SquareSoft,1 Player,53,1673
53,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,8.7,SquareSoft,1 Player,24,1055
54,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,97,9.1,NintendoEADTokyo,No Online Multiplayer,87,2521
55,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,83,5.7,SledgehammerGames,Up to 18 ,39,1643
56,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,99,9.1,Nintendo,1 Player,22,5749
57,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,84,7.6,Treyarch,Up to 18 ,84,660
58,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,84,7.5,EADICE,No info,57,2172
59,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,95,8.9,Nintendo,No Online Multiplayer,73,2060
60,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,49,7.9,UbisoftParis,No info,21,117
61,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,85,7.5,EADICE,Up to 24 ,38,1843
62,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,8.6,EABlackBox,1-4 ,33,233
63,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,9.1,Namco,1-2 ,15,660
64,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,9.0,NaughtyDog,1 Player,12,705
65,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,9.1,HALLabs,1-4 ,38,866
66,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,88,8.8,Nintendo,Up to 12 ,82,1917
67,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,87,6.7,BethesdaGameStudios,No Online Multiplayer,58,5440
68,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,87,8.6,Nintendo,1-8 ,58,412
69,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,74,7.5,Ubisoft,No Online Multiplayer,10,32
70,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,86,4.3,EACanada,Up to 22 ,37,593
71,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,8.6,EACanada,6  Online,39,195
72,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,92,8.4,NaughtyDog,Up to 10 ,97,4611
73,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,93,7.8,EpicGames,1-2 ,90,3060
74,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,96,8.8,NaughtyDog,No Online Multiplayer,105,6716
75,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,94,8.4,InfinityWard,Up to 18 ,44,1170
76,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,95,8.9,RockstarSanDiego,Up to 16 ,73,3371
77,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,82,5.6,EASports,Up to 22 ,47,1076
78,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,87,8.6,RetroStudios,No Online Multiplayer,77,469
79,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,92,6.6,BethesdaGameStudios,No Online Multiplayer,16,2704
80,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,85,6.9,Ubisoft,Up to 8 ,41,1528
81,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,8.9,SquareSoft,1 Player,46,1076
82,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,83,7.4,"BungieSoftware,Bungie",4  Online,94,1424
83,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,95,9.0,RockstarSanDiego,Up to 16 ,96,2847
84,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,8.5,Nintendo,1 Player,61,756
85,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93,7.4,BlizzardEntertainment,Massively Multiplayer,57,2934
86,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,8.0,ReflectionsInteractive,1 Player,22,132
87,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,73,7.6,RareLtd.,Up to 4 ,51,111
88,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,91,8.0,EpicGames,Up to 10 ,96,1750
89,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,94,8.3,EpicGames,8  Online,88,2653
90,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,8.8,KCEJ,1 Player,42,1545
91,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,94,8.8,KojimaProductions,Up to 16 ,82,4088
92,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,9.2,KCEJ,1 Player,20,1584
93,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,95,9.2,NaughtyDog,Up to 8 ,98,11982
94,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92,7.6,SquareEnix,1 Player,64,1432
95,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,95,6.8,"SCE/WWS,MediaMolecule",Up to 4 ,85,5533
96,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,80,8.6,Traveller'sTales,No Online Multiplayer,17,100
97,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,9.2,Capcom,1 Player,13,822
98,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8.4,Namco,1-2 ,8,165
99,Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,67,7.4,"TaitoCorporation,OfficeCreate",No Online Multiplayer,35,26
100,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,76,6.1,"BungieSoftware,Bungie",Up to 16 ,95,5540
101,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,91,8.6,UbisoftMontreal,No Online Multiplayer,70,1747
102,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,79,8.7,HALLabs,1-4 ,11,436
103,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,81,7.6,UbisoftMontreal,No Online Multiplayer,77,1306
104,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,96,8.8,RocksteadyStudios,No Online Multiplayer,42,2773
105,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,92,8.1,Turn10,Up to 8 ,90,551
106,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,7.3,Nintendo,No info,19,60
107,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,85,7.7,Treyarch,Up to 18 ,45,492
108,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,7.2,Traveller'sTales,1 Player,22,271
109,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,84,6.8,Ubisoft,Up to 8 ,61,1317
110,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,9.0,SquareSoft,1 Player,22,1280
111,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,7.6,SquareSoft,1 Player,45,573
112,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,90,8.6,RareLtd.,1-4 ,14,260
113,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,90,8.8,UbisoftMontreal,No Online Multiplayer,82,1653
114,Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,88,4.1,BlizzardEntertainment,Up to 4 ,86,9774
115,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,84,8.0,Nintendo,No Online Multiplayer,70,872
116,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,90,6.2,ElectronicArts,No info,48,425
117,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,90,8.0,Nintendo,2 ,57,533
118,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,70,7.2,"Sega,Nintendo,SegaSportsR&D",No Online Multiplayer,33,45
119,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,80,6.6,LionheadStudios,No Online Multiplayer,88,680
120,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,81,5.5,SledgehammerGames,Up to 18 ,53,931
121,Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92,8.4,HarmonixMusicSystems,1-2 ,69,146
122,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11,84,7.5,Capcom,2  Online,76,854
123,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,97,7.8,RockstarNorth,Up to 30 ,14,1285
