,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score,user score,developer,players,critics,users
1487,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,73,7.4,Nintendo,1 Player,8,63
1488,Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,77,8.9,MidwayStudios-LosAngeles,1-2 ,41,151
1489,Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62,4.5,FuseGamesLimited,1 Player,35,15
1490,Dragon Ball Z: Budokai,GC,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65,6.8,Pyramid,No info,16,24
1491,The Sly Collection,PS3,2010.0,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69,85,8.8,SanzaruGames,No Online Multiplayer,46,211
1492,One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69,71,7.8,OmegaForce,2 ,35,71
1493,Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69,84,7.8,Ubisoft,No info,10,2063
1494,Harry Potter and the Chamber of Secrets,GC,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77,8.1,EurocomEntertainmentSoftware,1 Player,14,34
1495,The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84,8.1,HypnosEntertainment,1-2 ,23,29
1496,MX vs. ATV Untamed,X360,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.69,70,6.9,RainbowStudios,Up to 12 ,43,19
1497,The Last Remnant,X360,2008.0,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69,66,6.8,SquareEnix,No Online Multiplayer,49,130
1498,Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78,8.3,BlackIsleStudios,1-2 ,44,64
1499,Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,63,7.8,VicariousVisions,1 Player,8,5
1500,Iron Man,PS3,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68,42,6.1,SecretLevel,No Online Multiplayer,27,48
1501,Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.12,0.68,60,6.9,Treyarch,No Online Multiplayer,33,55
1502,Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68,92,8.7,UbisoftMontpellier,No Online Multiplayer,35,539
1503,Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85,8.5,UbisoftMontreal,1 Player,46,171
1504,Red Steel,Wii,2006.0,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68,63,6.8,UbisoftParis,No Online Multiplayer,54,127
1505,Mass Effect,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68,89,8.6,"BioWare,DemiurgeStudios",No Online Multiplayer,45,3425
1506,Turok,PS3,2008.0,Action,Touchstone,0.35,0.22,0.01,0.1,0.68,67,6.0,PropagandaGames,Up to 16 ,38,46
1507,Midway Arcade Treasures 2,PS2,2004.0,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74,7.8,BackboneEntertainment,1-4 ,28,4
1508,Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67,86,7.7,EpicGames,Up to 16 ,42,133
1509,Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67,67,7.2,GrasshopperManufacture,No info,37,215
1510,The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67,80,7.7,Starbreeze,Up to 8 ,35,126
1511,Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67,67,7.2,Ubisoft,Up to 16 ,26,12
1512,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,79,7.8,MachineGames,No Online Multiplayer,18,485
1513,Armored Core 3,PS2,2002.0,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74,8.7,FromSoftware,1-4 ,23,36
1514,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67,93,9.4,CDProjektRedStudio,No Online Multiplayer,32,17537
1515,The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71,7.1,TTGames,No Online Multiplayer,31,110
1516,Castlevania: Lords of Shadow,X360,2010.0,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67,83,7.9,MercurySteam,No Online Multiplayer,70,271
1517,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67,94,8.6,IrrationalGames,No Online Multiplayer,68,8729
1518,007: Quantum of Solace,Wii,2008.0,Action,Activision,0.3,0.29,0.01,0.07,0.67,54,7.3,"Treyarch,Beenox",No info,11,27
1519,Rock Band 3,Wii,2010.0,Misc,MTV Games,0.56,0.06,0.0,0.05,0.67,91,6.9,BackboneEntertainment,No info,10,39
1520,Command & Conquer: Red Alert 3,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,82,6.9,EALA,No Online Multiplayer,55,542
1521,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,81,9.0,Capcom,No Online Multiplayer,45,189
1522,NHL 13,X360,2012.0,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,83,6.6,ElectronicArts,No info,44,87
1523,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67,77,6.4,2KAustralia,Up to 4 ,24,167
1524,Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66,63,6.3,UbisoftMontreal,Up to 16 ,30,27
1525,MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61,7.9,989Sports,1-2 ,21,9
1526,Darkstone,PS,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58,7.6,DelphineSoftwareInternational,1 Player,10,22
1527,NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74,7.9,NuFX,1-8 ,13,23
1528,Thrillville,PS2,2006.0,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69,3.0,FrontierDevelopments,1-4 ,32,53
1529,NHL 10,X360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88,8.3,EACanada,No info,52,73
1530,Madagascar,GC,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70,8.1,ToysforBob,1-4 ,21,8
1531,Rayman Legends,PS3,2013.0,Platform,Ubisoft,0.14,0.38,0.0,0.14,0.66,91,8.7,UbisoftMontpellier,No Online Multiplayer,23,361
1532,Street Fighter Anniversary Collection,PS2,2004.0,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78,8.4,Capcom,1-2 ,30,23
1533,Napoleon: Total War,PC,2010.0,Strategy,Sega,0.02,0.52,0.0,0.12,0.66,81,7.9,CreativeAssembly,No info,56,588
1534,Fist of the North Star: Ken's Rage,PS3,2010.0,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66,60,7.0,"Koei,OmegaForce",No Online Multiplayer,30,33
1535,Wario: Master of Disguise,DS,2007.0,Platform,Nintendo,0.28,0.02,0.33,0.03,0.66,60,7.4,No info,No info,0,0
1536,Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.66,82,7.1,EATiburon,No info,34,11
1537,Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71,7.8,TOSE,1-4 ,7,6
1538,Disney's Kim Possible 2: Drakken's Demise,GBA,2004.0,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,77,7.8,ArtificialMindandMovement,1 Player,8,8
1539,F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66,65,6.4,Codemasters,Up to 16 ,46,56
1540,Scene It? Box Office Smash,X360,2008.0,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.66,76,7.4,"KromeStudios,ScreenlifeGames",Up to 4 ,32,25
1541,NHL 13,PS3,2012.0,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65,84,6.9,ElectronicArts,No info,22,66
1542,Tom Clancy's EndWar,PS3,2008.0,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65,76,6.8,UbisoftShanghai,Up to 8 ,33,45
1543,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65,79,7.4,TangoGameworks,No info,24,520
1544,Tiger Woods PGA Tour 09,X360,2008.0,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84,7.7,EATiburon,Up to 4 ,41,30
1545,Radiata Stories,PS2,2005.0,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65,74,8.7,Tri-Ace,1 Player,36,85
1546,F-Zero GX,GC,2003.0,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65,89,8.7,AmusementVision,1-4 ,50,220
1547,Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60,8.5,AvalancheSoftware,No info,20,14
1548,Monster Jam: Maximum Destruction,PS2,2002.0,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,47,6.2,Ubisoft,1-2 ,11,5
1549,Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.56,0.04,0.0,0.05,0.65,67,8.3,EpicenterStudios,No info,18,11
1550,Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.45,0.14,0.0,0.06,0.65,72,7.8,5THCell,No info,21,26
1551,MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.07,0.65,83,7.6,SCEASanDiegoStudios,Up to 8 ,17,212
1552,Tiger Woods PGA Tour 10,X360,2009.0,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80,6.9,EATiburon,Up to 4 ,51,20
1553,Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89,8.8,IntelligentSystems,1-4 ,34,124
1554,Champions: Return to Arms,PS2,2005.0,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77,8.1,SnowblindStudios,4  Online,48,51
1555,Harry Potter and the Goblet of Fire,PS2,2005.0,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68,6.2,ElectronicArts,1-3 ,29,64
1556,Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65,74,7.7,TeamNinja,Up to 16 ,34,120
1557,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.4,0.03,0.65,61,8.0,Capcom,No Online Multiplayer,37,35
1558,Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.09,0.64,76,6.7,Crytek,No info,47,1435
1559,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004.0,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67,6.5,VicariousVisions,1-4 ,23,29
1560,Spyro: A Hero's Tail,PS2,2004.0,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,60,8.0,EurocomEntertainmentSoftware,1 Player,16,68
1561,Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.2,0.31,0.0,0.13,0.64,43,3.6,GearboxSoftware,Up to 12 ,25,325
1562,Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,57,7.5,Spike,Up to 8 ,33,46
1563,GoldenEye: Rogue Agent,PS2,2004.0,Shooter,Electronic Arts,0.54,0.02,0.0,0.09,0.64,60,6.8,EALA,8  Online,38,38
1564,NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64,90,5.9,VisualConcepts,No info,17,133
1565,Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64,67,6.9,Capcom,Up to 16 ,34,40
1566,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64,90,8.3,FiraxisGames,2 ,35,394
1567,Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,61,6.5,UbisoftCasablanca,No info,39,55
1568,LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0.0,0.1,0.64,71,7.1,TTGames,No Online Multiplayer,70,127
1569,X2: Wolverine's Revenge,PS2,2003.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,58,7.1,GenePool,1 Player,24,14
1570,Stuntman: Ignition,X360,2007.0,Racing,THQ,0.25,0.32,0.0,0.07,0.64,75,7.2,ParadigmEntertainment,Up to 8 ,38,34
1571,Dragon Age II,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64,82,4.6,BioWare,No Online Multiplayer,45,4857
1572,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.55,0.04,0.0,0.05,0.64,81,8.0,Traveller'sTales,1-2 ,50,56
1573,Rayman 2: The Great Escape,N64,1999.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64,90,8.8,UbisoftMontpellier,1 Player,12,94
1574,The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.64,55,7.0,PandemicStudios,Up to 16 ,58,119
1575,Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64,81,8.8,Capcom,1-2 ,45,90
1576,Sega Rally Revo,PS3,2007.0,Racing,Sega,0.07,0.43,0.0,0.14,0.64,75,7.1,SEGARacingStudio,Up to 6 ,40,21
1577,Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64,83,8.5,SCEJapanStudio,No Online Multiplayer,73,702
1578,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78,8.8,KCEA,No info,10,4
1579,Wolfenstein,PS3,2009.0,Shooter,Activision,0.25,0.28,0.0,0.11,0.64,71,7.5,"idSoftware,RavenSoftware",Up to 12 ,58,84
1580,LEGO Dimensions,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0.0,0.1,0.64,80,7.1,Traveller'sTales,Up to 4 ,53,81
1581,Start the Party!,PS3,2010.0,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.64,55,5.5,SupermassiveGames,No Online Multiplayer,47,20
1582,NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64,73,6.8,EACanada,Up to 8 ,28,10
1583,The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.46,0.12,0.0,0.05,0.64,32,4.0,TerminalReality,No info,30,414
1584,Okami,Wii,2008.0,Action,Capcom,0.45,0.1,0.04,0.05,0.64,90,8.8,ReadyatDawn,No Online Multiplayer,44,269
1585,Lemony Snicket's A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64,63,6.1,Adrenium,1 Player,25,14
1586,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63,80,8.5,UbisoftParis,1-4 ,73,196
1587,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63,82,7.5,RavenSoftware,4  Online,44,49
1588,SingStar Queen,PS2,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63,73,7.8,SCEELondonStudio,1-8 ,9,6
1589,F1 2013,PS3,2013.0,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63,77,6.4,CodemastersBirmingham,No info,22,47
1590,Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.22,0.34,0.0,0.07,0.63,68,7.5,JuiceGames,Up to 8 ,24,25
1591,Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.43,0.14,0.0,0.06,0.63,79,8.6,TerminalReality,Up to 4 ,53,148
1592,NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63,78,7.6,EASports,4  Online,18,20
1593,Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.3,0.23,0.01,0.1,0.63,76,7.0,NeversoftEntertainment,No Online Multiplayer,43,21
1594,Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63,70,6.9,"EurocomEntertainmentSoftware,Eurocom",No Online Multiplayer,29,14
1595,Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.28,0.24,0.0,0.1,0.63,86,8.1,NeversoftEntertainment,No info,44,54
1596,Harry Potter and the Half-Blood Prince,DS,2009.0,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.63,48,4.8,EABrightLight,No info,9,8
1597,DJ Hero 2,Wii,2010.0,Misc,Activision,0.49,0.09,0.0,0.04,0.63,88,7.6,FreeStyleGames,No info,20,19
1598,Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.38,0.2,0.0,0.05,0.63,62,5.0,ExientEntertainment,No info,7,25
1599,Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.38,0.19,0.0,0.06,0.63,80,8.4,MonolithProductions,Up to 8 ,76,196
1600,Call of Duty: Black Ops,DS,2010.0,Shooter,Activision,0.54,0.05,0.0,0.04,0.63,74,6.6,n-Space,Up to 18 ,13,57
1601,The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63,70,3.8,TheSimsStudio,1 Player,22,88
1602,The Crew,XOne,2014.0,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63,64,5.7,"UbisoftReflections,IvoryTower",No info,18,192
1603,Sonic & All-Stars Racing Transformed,X360,2012.0,Racing,Sega,0.2,0.37,0.0,0.06,0.63,82,8.3,SumoDigital,Up to 10 ,38,122
1604,FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63,82,6.1,EASports,1-8 ,17,28
1605,Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.63,80,6.1,ElectronicArts,Up to 4 ,50,27
1606,Okami,PS2,2006.0,Action,Capcom,0.11,0.03,0.15,0.34,0.63,93,9.1,CloverStudio,1 Player,69,470
1607,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63,88,7.3,Page44Studios,No info,10,9
1608,LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0.0,0.06,0.63,70,6.8,TTGames,No Online Multiplayer,17,53
1609,Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63,70,6.4,ArtificialMindandMovement,No Online Multiplayer,61,74
1610,MySims Racing,DS,2009.0,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.63,67,7.5,EAGames,Up to 4 ,11,6
1611,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.35,0.24,0.0,0.04,0.63,54,6.8,Traveller'sTales,No info,10,12
1612,Namco Museum,GC,2002.0,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63,62,8.1,MassMedia,1-2 ,10,8
1613,Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,74,7.8,UbisoftMontreal,No Online Multiplayer,69,137
1614,Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.22,0.11,0.09,0.62,84,9.1,PlatinumGames,No Online Multiplayer,61,794
1615,Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62,70,7.0,"AscaronEntertainmentGmbH,AscaronEntertainment",Up to 4 ,45,56
1616,Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62,82,7.8,EATiburon,2  Online,14,6
1617,Far Cry 4,PC,2014.0,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62,80,6.9,UbisoftMontreal,No info,17,1508
1618,LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.29,0.28,0.0,0.06,0.62,71,7.1,Traveller'sTales,1 Player,16,24
1619,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62,74,5.1,TurtleRockStudios,Up to 5 ,31,350
1620,Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.3,0.24,0.0,0.08,0.62,71,8.3,AvalancheSoftware,1-2 ,31,12
1621,Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62,62,6.0,Techland,Up to 4 ,25,154
1622,Viewtiful Joe,GC,2003.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62,93,8.3,CloverStudio,1 Player,52,138
1623,FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62,79,7.2,ElectronicArts,2 ,45,84
1624,Strike Force Bowling,PS2,2004.0,Sports,Play It,0.3,0.24,0.0,0.08,0.62,48,6.8,LabRatsGames,1-4 ,14,4
1625,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62,58,5.3,Spike,Up to 8 ,26,98
1626,Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61,81,8.3,Vanillaware,No Online Multiplayer,58,120
1627,NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82,7.1,VisualConcepts,Up to 10 ,30,38
1628,NHL 16,PS4,2015.0,Sports,Electronic Arts,0.35,0.15,0.0,0.11,0.61,78,5.4,"EASports,EACanada",Up to 12 ,28,171
1629,Samurai Warriors 2,PS2,2006.0,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58,9.0,OmegaForce,1-4 ,26,19
1630,Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61,68,8.1,OmegaForce,2 ,26,83
1631,Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,72,8.2,ViciousCycle,1-2 ,20,5
1632,Just Dance 2014,WiiU,2013.0,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.61,72,7.6,Ubisoft,No info,13,47
1633,Texas Hold 'Em Poker,GBA,2004.0,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,49,6.7,SkyworksTechnologies,1 Player,7,7
1634,Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81,7.9,Namco,1-2 ,29,19
1635,Pac-Man Party,Wii,2010.0,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61,59,6.4,TOSE,No info,14,14
1636,Major League Baseball 2K8,X360,2008.0,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70,5.9,KushGames,2  Online,28,34
1637,SimCity DS,DS,2007.0,Simulation,Electronic Arts,0.33,0.03,0.21,0.03,0.61,69,6.4,AkiCorp.,1-2 ,27,19
1638,Major League Baseball 2K9,X360,2009.0,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64,5.3,2KSports,2  Online,29,26
1639,Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.61,82,8.1,BlackRockStudio,No info,78,120
1640,Final Fantasy IV Advance,GBA,2005.0,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85,8.4,TOSE,1 Player,30,61
1641,Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,71,6.2,MagicPockets,1-3 ,9,10
1642,Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,0.44,0.16,0.0,0.01,0.61,62,8.6,WebfootTechnologies,24  Online,19,60
1643,Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61,89,6.0,EASports,1-4 ,12,5
1644,Guitar Hero: Smash Hits,Wii,2009.0,Misc,Activision,0.33,0.21,0.0,0.06,0.61,74,7.4,Beenox,No info,17,8
1645,Spider-Man: Mysterio's Menace,GBA,2001.0,Action,Activision,0.43,0.16,0.0,0.01,0.61,84,8.1,VicariousVisions,No info,8,18
1646,Game & Watch Gallery 4,GBA,2002.0,Misc,Nintendo,0.43,0.16,0.0,0.01,0.61,71,8.1,Nintendo,1-2 ,14,7
1647,Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.61,32,4.6,Ubisoft,No Online Multiplayer,38,26
1648,Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61,77,7.7,Techland,12  Online,77,99
1649,Tony Hawk's Underground,GBA,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6,86,7.7,VicariousVisions,1-2 ,9,9
1650,Wave Race: Blue Storm,GC,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80,7.9,Nintendo,No info,21,32
1651,Backyard Wrestling: Don't Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51,7.5,ParadoxDevelopment,1-2 ,24,30
1652,The Golden Compass,DS,2007.0,Action,Sega,0.28,0.25,0.0,0.06,0.6,43,5.2,ArtificialMindandMovement,2  Online,7,9
1653,NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72,6.0,VisualConcepts,10  Online,7,9
1654,Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71,7.6,AvalancheSoftware,No info,10,58
1655,Alice: Madness Returns,PS3,2011.0,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6,70,8.0,SpicyHorse,No Online Multiplayer,51,211
1656,LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0.0,0.1,0.6,72,6.6,TTGames,No Online Multiplayer,47,110
1657,Secret Agent Clank,PS2,2009.0,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61,6.5,SanzaruGames,No info,9,20
1658,Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6,52,7.5,AppaloosaInteractive,1 Player,29,46
1659,Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,87,8.6,GearboxSoftware,1-2 ,24,130
1660,Mickey's Speedway USA,N64,2000.0,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6,71,7.2,RareLtd.,No info,14,20
